    Finished release [optimized] target(s) in 0.0 secs
     Running `target/release/examples/perf_txt`
           size              m        pattern        variant        quicker            std    quicker/std
             10              2       sawtooth          ident           80.0           75.2            1.1
             10              2       sawtooth        reverse           78.1           74.1            1.1
             10              2       sawtooth  reverse_front           80.0           76.3            1.0
             10              2       sawtooth   reverse_back           79.4           76.3            1.0
             10              2       sawtooth         sorted           85.5           80.0            1.1
             10              2       sawtooth         dither           80.6           75.8            1.1
             10              2           rand          ident           48.1           44.2            1.1
             10              2           rand        reverse           50.3           46.3            1.1
             10              2           rand  reverse_front           50.0           46.7            1.1
             10              2           rand   reverse_back           50.5           47.2            1.1
             10              2           rand         sorted           84.0           78.7            1.1
             10              2           rand         dither           47.2           45.9            1.0
             10              2        stagger          ident           76.9           71.4            1.1
             10              2        stagger        reverse           73.0           69.4            1.1
             10              2        stagger  reverse_front           75.8           69.0            1.1
             10              2        stagger   reverse_back           74.6           71.9            1.0
             10              2        stagger         sorted           84.0           80.0            1.1
             10              2        stagger         dither           76.9           73.0            1.1
             10              2        plateau          ident           84.7           80.6            1.1
             10              2        plateau        reverse           75.8           71.9            1.1
             10              2        plateau  reverse_front           84.0           77.5            1.1
             10              2        plateau   reverse_back           84.7           80.6            1.1
             10              2        plateau         sorted           85.5           80.6            1.1
             10              2        plateau         dither           84.7           80.6            1.1
             10              2        shuffle          ident           66.7           62.5            1.1
             10              2        shuffle        reverse           56.8           52.4            1.1
             10              2        shuffle  reverse_front           66.2           59.2            1.1
             10              2        shuffle   reverse_back           63.3           60.6            1.0
             10              2        shuffle         sorted           84.0           79.4            1.1
             10              2        shuffle         dither           58.5           55.2            1.1
             10              4       sawtooth          ident           76.9           73.0            1.1
             10              4       sawtooth        reverse           75.2           70.4            1.1
             10              4       sawtooth  reverse_front           75.8           71.9            1.1
             10              4       sawtooth   reverse_back           77.5           73.0            1.1
             10              4       sawtooth         sorted           84.0           80.6            1.0
             10              4       sawtooth         dither           76.9           72.5            1.1
             10              4           rand          ident           48.5           44.6            1.1
             10              4           rand        reverse           50.5           46.5            1.1
             10              4           rand  reverse_front           50.5           46.9            1.1
             10              4           rand   reverse_back           50.8           46.5            1.1
             10              4           rand         sorted           78.7           80.6            1.0
             10              4           rand         dither           50.0           46.9            1.1
             10              4        stagger          ident           80.0           76.3            1.0
             10              4        stagger        reverse           77.5           74.1            1.0
             10              4        stagger  reverse_front           79.4           76.3            1.0
             10              4        stagger   reverse_back           80.6           75.8            1.1
             10              4        stagger         sorted           84.7           80.6            1.1
             10              4        stagger         dither           85.5           81.3            1.1
             10              4        plateau          ident           84.7           80.6            1.1
             10              4        plateau        reverse           73.0           69.0            1.1
             10              4        plateau  reverse_front           81.3           75.2            1.1
             10              4        plateau   reverse_back           84.0           80.0            1.1
